doi,label,person
10.3390/metabo13040548,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24087588,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24087406,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24087066,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24086931,Not Neotoma,0000-0002-2700-4605
10.3390/genes14040901,Not Neotoma,0000-0002-2700-4605
10.3390/genes14040855,Not Neotoma,0000-0002-2700-4605
10.3390/biology12040497,Not Neotoma,0000-0002-2700-4605
10.1016/j.smim.2023.101765,Not Neotoma,0000-0002-2700-4605
10.1016/j.alit.2023.04.002,Not Neotoma,0000-0002-2700-4605
10.1016/j.pestbp.2023.105386,Not Neotoma,0000-0002-2700-4605
10.1126/science.abm1696,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0285007,Not Neotoma,0000-0002-2700-4605
10.1007/s11103-023-01354-4,Not Neotoma,0000-0002-2700-4605
10.3390/insects14040365,Not Neotoma,0000-0002-2700-4605
10.3390/insects14040349,Not Neotoma,0000-0002-2700-4605
10.1039/d3fo01016c,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-33856-y,Not Neotoma,0000-0002-2700-4605
10.1016/j.ijbiomac.2023.124584,Not Neotoma,0000-0002-2700-4605
10.1016/j.plaphy.2023.107702,Not Neotoma,0000-0002-2700-4605
10.1007/s00497-023-00463-w,Not Neotoma,0000-0002-2700-4605
10.1093/evolut/qpad069,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163661,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163543,Not Neotoma,0000-0002-2700-4605
10.1007/s10142-023-01062-8,Not Neotoma,0000-0002-2700-4605
10.1002/eap.2859,Not Neotoma,0000-0002-2700-4605
10.1016/j.waojou.2023.100762,Not Neotoma,0000-0002-2700-4605
10.3389/fimmu.2023.1094694,Not Neotoma,0000-0002-2700-4605
10.1016/j.quaint.2022.03.003,Not Neotoma,0000-0002-2700-4605
10.1016/j.jplph.2023.153978,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16172,Not Neotoma,0000-0002-2700-4605
10.1007/s11356-023-26886-6,Not Neotoma,0000-0002-2700-4605
10.1002/etc.5635,Not Neotoma,0000-0002-2700-4605
10.2147/JAA.S405549,Not Neotoma,0000-0002-2700-4605
10.1016/j.envres.2023.115903,Not Neotoma,0000-0002-2700-4605
10.1017/qpb.2022.24,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1121570,Not Neotoma,0000-0002-2700-4605
10.1183/23120541.00561-2022,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0284631,Not Neotoma,0000-0002-2700-4605
10.1186/s12870-023-04190-2,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16165,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0282715,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16170,Not Neotoma,0000-0002-2700-4605
10.1080/10408398.2023.2191285,Not Neotoma,0000-0002-2700-4605
10.1007/s11103-023-01341-9,Not Neotoma,0000-0002-2700-4605
10.1007/s10453-022-09756-5,Not Neotoma,0000-0002-2700-4605
10.1093/aobpla/plad012,Not Neotoma,0000-0002-2700-4605
10.1016/j.heliyon.2023.e14914,Not Neotoma,0000-0002-2700-4605
10.3389/fimmu.2023.1144816,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1177435,Not Neotoma,0000-0002-2700-4605
10.1177/10820132231168914,Not Neotoma,0000-0002-2700-4605
10.1111/pbi.14056,Not Neotoma,0000-0002-2700-4605
10.5414/ALX02400E,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0271780,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0284287,Not Neotoma,0000-0002-2700-4605
10.1002/aps3.11514,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1113838,Not Neotoma,0000-0002-2700-4605
10.1093/molbev/msad080,Not Neotoma,0000-0002-2700-4605
10.3390/plants12071570,Not Neotoma,0000-0002-2700-4605
10.3390/plants12071567,Not Neotoma,0000-0002-2700-4605
10.3390/plants12071563,Not Neotoma,0000-0002-2700-4605
10.3390/plants12071542,Not Neotoma,0000-0002-2700-4605
10.3390/nu15071614,Not Neotoma,0000-0002-2700-4605
10.3390/foods12071493,Not Neotoma,0000-0002-2700-4605
10.3390/cells12071096,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24076703,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24076570,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24076510,Not Neotoma,0000-0002-2700-4605
10.1007/s00705-023-05767-w,Not Neotoma,0000-0002-2700-4605
10.11646/zootaxa.5188.3.1,Not Neotoma,0000-0002-2700-4605
10.11646/zootaxa.5254.2.7,Not Neotoma,0000-0002-2700-4605
10.1016/j.psj.2023.102628,Not Neotoma,0000-0002-2700-4605
10.1126/sciadv.adg0885,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16158,Not Neotoma,0000-0002-2700-4605
10.1111/fcp.12898,Not Neotoma,0000-0002-2700-4605
10.1002/ps.7501,Not Neotoma,0000-0002-2700-4605
10.1002/ecm.1551,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1145327,Not Neotoma,0000-0002-2700-4605
10.1007/s00299-023-03003-y,Not Neotoma,0000-0002-2700-4605
10.1007/s11248-023-00343-z,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163310,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163345,Not Neotoma,0000-0002-2700-4605
10.1016/j.devcel.2023.03.004,Not Neotoma,0000-0002-2700-4605
10.3389/fimmu.2023.1136669,Not Neotoma,0000-0002-2700-4605
10.1093/jxb/erad117,Not Neotoma,0000-0002-2700-4605
10.1007/s00497-023-00462-x,Not Neotoma,0000-0002-2700-4605
10.1007/s00705-023-05761-2,Not Neotoma,0000-0002-2700-4605
10.3389/fgene.2023.1099489,Not Neotoma,0000-0002-2700-4605
10.1186/s12862-023-02111-3,Not Neotoma,0000-0002-2700-4605
10.1186/s12870-023-04189-9,Not Neotoma,0000-0002-2700-4605
10.1007/s15006-023-2533-8,Not Neotoma,0000-0002-2700-4605
10.1098/rspb.2023.0055,Not Neotoma,0000-0002-2700-4605
10.1016/j.cub.2023.03.021,Not Neotoma,0000-0002-2700-4605
10.1111/plb.13523,Not Neotoma,0000-0002-2700-4605
10.1111/jipb.13490,Not Neotoma,0000-0002-2700-4605
10.1111/cea.14307,Not Neotoma,0000-0002-2700-4605
10.1038/s41477-023-01389-x,Not Neotoma,0000-0002-2700-4605
10.1016/j.envint.2023.107900,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pbio.3002073,Not Neotoma,0000-0002-2700-4605
10.1007/s00122-023-04339-5,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad208,Not Neotoma,0000-0002-2700-4605
10.3389/fphys.2023.1099719,Not Neotoma,0000-0002-2700-4605
10.1007/s13258-023-01375-9,Not Neotoma,0000-0002-2700-4605
10.1111/mec.16943,Not Neotoma,0000-0002-2700-4605
10.1002/adma.202301192,Not Neotoma,0000-0002-2700-4605
10.1016/j.jep.2023.116419,Not Neotoma,0000-0002-2700-4605
10.1016/j.conb.2023.102710,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad203,Not Neotoma,0000-0002-2700-4605
10.1016/j.envpol.2023.121526,Not Neotoma,0000-0002-2700-4605
10.1242/jeb.245404,Not Neotoma,0000-0002-2700-4605
10.2174/1574888X18666230330104314,Not Neotoma,0000-0002-2700-4605
10.1007/978-1-0716-3131-7_22,Not Neotoma,0000-0002-2700-4605
10.1111/nph.18917,Not Neotoma,0000-0002-2700-4605
10.3389/fphys.2023.1149840,Not Neotoma,0000-0002-2700-4605
10.1016/j.isci.2023.106116,Not Neotoma,0000-0002-2700-4605
10.1101/2023.03.19.533346,Not Neotoma,0000-0002-2700-4605
10.3390/s23062964,Not Neotoma,0000-0002-2700-4605
10.1186/s12864-023-09143-5,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-32298-w,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0281810,Not Neotoma,0000-0002-2700-4605
10.1111/nmo.14559,Not Neotoma,0000-0002-2700-4605
10.7759/cureus.35387,Not Neotoma,0000-0002-2700-4605
10.3390/polym15061414,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061415,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061402,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061334,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061308,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061298,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061274,Not Neotoma,0000-0002-2700-4605
10.3390/plants12061242,Not Neotoma,0000-0002-2700-4605
10.3390/nano13060993,Not Neotoma,0000-0002-2700-4605
10.3390/molecules28062497,Not Neotoma,0000-0002-2700-4605
10.3390/life13030634,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24065442,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24065437,Not Neotoma,0000-0002-2700-4605
10.3390/e25030489,Not Neotoma,0000-0002-2700-4605
10.3390/genes14030535,Not Neotoma,0000-0002-2700-4605
10.3390/antiox12030557,Not Neotoma,0000-0002-2700-4605
10.3390/ani13061122,Not Neotoma,0000-0002-2700-4605
10.3390/insects14030298,Not Neotoma,0000-0002-2700-4605
10.3390/insects14030285,Not Neotoma,0000-0002-2700-4605
10.3390/insects14030265,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad196,Not Neotoma,0000-0002-2700-4605
10.1002/clt2.12231,Not Neotoma,0000-0002-2700-4605
10.1038/s41467-023-37303-4,Not Neotoma,0000-0002-2700-4605
10.1111/tpj.16207,Not Neotoma,0000-0002-2700-4605
10.1093/jxb/erad115,Not Neotoma,0000-0002-2700-4605
10.1111/nph.18898,Not Neotoma,0000-0002-2700-4605
10.1016/j.molimm.2023.03.012,Not Neotoma,0000-0002-2700-4605
10.1007/s00122-023-04342-w,Not Neotoma,0000-0002-2700-4605
10.1016/j.pestbp.2023.105339,Not Neotoma,0000-0002-2700-4605
10.1111/all.15724,Not Neotoma,0000-0002-2700-4605
10.1093/ee/nvad021,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.162971,Not Neotoma,0000-0002-2700-4605
10.1007/s10265-023-01455-7,Not Neotoma,0000-0002-2700-4605
10.1111/jipb.13486,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-31010-2,Not Neotoma,0000-0002-2700-4605
10.1016/j.plantsci.2023.111674,Not Neotoma,0000-0002-2700-4605
10.1016/j.jhazmat.2023.131179,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0282351,Not Neotoma,0000-0002-2700-4605
10.1007/s00442-023-05354-5,Not Neotoma,0000-0002-2700-4605
10.1093/jme/tjad021,Not Neotoma,0000-0002-2700-4605
,Not Neotoma,0000-0002-2700-4605
10.1097/NMC.0000000000000927,Not Neotoma,0000-0002-2700-4605
10.1093/pcp/pcad020,Not Neotoma,0000-0002-2700-4605
10.1093/pcp/pcad021,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16159,Not Neotoma,0000-0002-2700-4605
10.1111/plb.13518,Not Neotoma,0000-0002-2700-4605
10.1093/jee/toad044,Not Neotoma,0000-0002-2700-4605
10.1093/hr/uhac286,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1090774,Not Neotoma,0000-0002-2700-4605
10.1155/2023/4075264,Not Neotoma,0000-0002-2700-4605
10.3389/fimmu.2023.1089514,Not Neotoma,0000-0002-2700-4605
10.1016/j.tig.2023.03.002,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16157,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16156,Not Neotoma,0000-0002-2700-4605
10.1016/j.envpol.2023.121451,Not Neotoma,0000-0002-2700-4605
10.1016/j.gene.2023.147372,Not Neotoma,0000-0002-2700-4605
10.1016/j.molimm.2023.01.006,Not Neotoma,0000-0002-2700-4605
10.1007/s11882-023-01073-2,Not Neotoma,0000-0002-2700-4605
10.1093/femsec/fiad028,Not Neotoma,0000-0002-2700-4605
10.1093/jee/toad036,Not Neotoma,0000-0002-2700-4605
10.1093/plcell/koad080,Not Neotoma,0000-0002-2700-4605
10.1007/s11103-023-01344-6,Not Neotoma,0000-0002-2700-4605
10.1159/000530115,Not Neotoma,0000-0002-2700-4605
10.29262/ram.v69i1.962,Not Neotoma,0000-0002-2700-4605
10.1016/j.molp.2023.03.008,Not Neotoma,0000-0002-2700-4605
10.5414/ALX02343E,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16144,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1120307,Not Neotoma,0000-0002-2700-4605
10.3760/cma.j.cn112150-20220508-00458,Not Neotoma,0000-0002-2700-4605
10.1016/j.ibmb.2023.103932,Not Neotoma,0000-0002-2700-4605
10.1159/000528855,Not Neotoma,0000-0002-2700-4605
10.1111/tpj.16190,Not Neotoma,0000-0002-2700-4605
10.1186/s12870-023-04142-w,Not Neotoma,0000-0002-2700-4605
10.1007/s10787-023-01182-4,Not Neotoma,0000-0002-2700-4605
10.1016/j.devcel.2023.02.010,Not Neotoma,0000-0002-2700-4605
10.1007/s11356-023-26268-y,Not Neotoma,0000-0002-2700-4605
10.1097/MOP.0000000000001237,Not Neotoma,0000-0002-2700-4605
10.15586/aei.v51i2.796,Not Neotoma,0000-0002-2700-4605
10.1186/s12870-023-04137-7,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16155,Not Neotoma,0000-0002-2700-4605
10.3791/65156,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1121852,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1135321,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1118670,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1131205,Not Neotoma,0000-0002-2700-4605
10.2903/j.efsa.2023.7837,Not Neotoma,0000-0002-2700-4605
10.1007/s10265-023-01445-9,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad153,Not Neotoma,0000-0002-2700-4605
10.3390/nu15051165,Not Neotoma,0000-0002-2700-4605
10.3390/plants12051106,Not Neotoma,0000-0002-2700-4605
10.3390/plants12051095,Not Neotoma,0000-0002-2700-4605
10.3390/plants12051058,Not Neotoma,0000-0002-2700-4605
10.3390/plants12051028,Not Neotoma,0000-0002-2700-4605
10.3390/molecules28052106,Not Neotoma,0000-0002-2700-4605
10.3390/ijerph20054105,Not Neotoma,0000-0002-2700-4605
10.3390/ani13050885,Not Neotoma,0000-0002-2700-4605
10.1016/j.foodchem.2023.135811,Not Neotoma,0000-0002-2700-4605
10.1007/s13353-023-00755-x,Not Neotoma,0000-0002-2700-4605
10.1242/jeb.244258,Not Neotoma,0000-0002-2700-4605
10.1016/j.waojou.2023.100752,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1065032,Not Neotoma,0000-0002-2700-4605
10.1007/s00709-023-01846-6,Not Neotoma,0000-0002-2700-4605
10.1002/cbdv.202201138,Not Neotoma,0000-0002-2700-4605
10.1002/jemt.24311,Not Neotoma,0000-0002-2700-4605
10.1039/d2em00480a,Not Neotoma,0000-0002-2700-4605
10.1186/s40779-023-00449-9,Not Neotoma,0000-0002-2700-4605
10.1159/000529436,Not Neotoma,0000-0002-2700-4605
10.1186/s13036-022-00322-8,Not Neotoma,0000-0002-2700-4605
10.1002/alr.23090,Not Neotoma,0000-0002-2700-4605
10.1016/j.carbpol.2022.120216,Not Neotoma,0000-0002-2700-4605
10.1002/jemt.24308,Not Neotoma,0000-0002-2700-4605
10.1016/j.pld.2022.03.001,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1109941,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1117136,Not Neotoma,0000-0002-2700-4605
10.3389/falgy.2023.1066392,Not Neotoma,0000-0002-2700-4605
10.2174/1389203724666230303091754,Not Neotoma,0000-0002-2700-4605
10.1016/j.jaci.2023.02.024,Not Neotoma,0000-0002-2700-4605
10.1016/j.scijus.2023.01.002,Not Neotoma,0000-0002-2700-4605
10.1016/j.jprot.2023.104867,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.162585,Not Neotoma,0000-0002-2700-4605
10.1016/j.gene.2023.147328,Not Neotoma,0000-0002-2700-4605
10.1016/j.pbi.2023.102350,Not Neotoma,0000-0002-2700-4605
10.1002/jat.4458,Not Neotoma,0000-0002-2700-4605
,Not Neotoma,0000-0002-2700-4605
10.1016/j.ijbiomac.2023.123860,Not Neotoma,0000-0002-2700-4605
10.1007/s00299-023-02998-8,Not Neotoma,0000-0002-2700-4605
10.1038/s41588-023-01329-7,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad136,Not Neotoma,0000-0002-2700-4605
10.1002/etc.5602,Not Neotoma,0000-0002-2700-4605
10.2903/j.efsa.2023.7836,Not Neotoma,0000-0002-2700-4605
10.1016/j.plantsci.2023.111667,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad123,Not Neotoma,0000-0002-2700-4605
10.1093/plcell/koad056,Not Neotoma,0000-0002-2700-4605
10.1007/s00425-023-04103-5,Not Neotoma,0000-0002-2700-4605
10.1080/03639045.2023.2183724,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16148,Not Neotoma,0000-0002-2700-4605
10.3390/vetsci10020140,Not Neotoma,0000-0002-2700-4605
10.3390/vetsci10020119,Not Neotoma,0000-0002-2700-4605
10.1038/s41559-023-01990-5,Not Neotoma,0000-0002-2700-4605
10.1016/j.fct.2023.113693,Not Neotoma,0000-0002-2700-4605
10.1186/s12284-023-00628-1,Not Neotoma,0000-0002-2700-4605
10.13345/j.cjb.220336,Not Neotoma,0000-0002-2700-4605
10.2903/j.efsa.2023.7840,Not Neotoma,0000-0002-2700-4605
10.2903/j.efsa.2023.7832,Not Neotoma,0000-0002-2700-4605
10.3389/fphys.2023.1137264,Not Neotoma,0000-0002-2700-4605
10.3389/fimmu.2023.1132129,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1128911,Not Neotoma,0000-0002-2700-4605
10.1016/j.molp.2023.02.009,Not Neotoma,0000-0002-2700-4605
10.3390/plants12040962,Not Neotoma,0000-0002-2700-4605
10.3390/plants12040926,Not Neotoma,0000-0002-2700-4605
10.3390/plants12040825,Not Neotoma,0000-0002-2700-4605
10.3390/life13020498,Not Neotoma,0000-0002-2700-4605
10.3390/insects14020203,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24044194,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24044040,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24043932,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24043707,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24043548,Not Neotoma,0000-0002-2700-4605
10.3390/foods12040706,Not Neotoma,0000-0002-2700-4605
10.3390/antiox12020342,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-30064-6,Not Neotoma,0000-0002-2700-4605
10.1016/j.jaci.2023.02.009,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16147,Not Neotoma,0000-0002-2700-4605
10.3390/cimb45020070,Not Neotoma,0000-0002-2700-4605
10.1002/clt2.12209,Not Neotoma,0000-0002-2700-4605
10.1002/clt2.12220,Not Neotoma,0000-0002-2700-4605
10.1101/2023.02.15.528663,Not Neotoma,0000-0002-2700-4605
,Not Neotoma,0000-0002-2700-4605
10.1186/s12870-023-04105-1,Not Neotoma,0000-0002-2700-4605
10.3389/falgy.2023.1063982,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1098125,Not Neotoma,0000-0002-2700-4605
10.1002/ece3.9836,Not Neotoma,0000-0002-2700-4605
10.17113/ftb.60.04.22.7703,Not Neotoma,0000-0002-2700-4605
10.1016/j.sjbs.2023.103574,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2022.918730,Not Neotoma,0000-0002-2700-4605
10.1111/all.15689,Not Neotoma,0000-0002-2700-4605
10.1186/s12951-023-01795-5,Not Neotoma,0000-0002-2700-4605
10.1007/s00425-023-04097-0,Not Neotoma,0000-0002-2700-4605
10.1111/tpj.16162,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-30027-x,Not Neotoma,0000-0002-2700-4605
10.1002/cbdv.202201141,Not Neotoma,0000-0002-2700-4605
10.1111/mec.16892,Not Neotoma,0000-0002-2700-4605
10.5604/01.3001.0016.0832,Not Neotoma,0000-0002-2700-4605
10.1016/j.ebiom.2023.104478,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1068296,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad097,Not Neotoma,0000-0002-2700-4605
10.1093/hr/uhac280,Not Neotoma,0000-0002-2700-4605
10.15036/arerugi.72.18,Not Neotoma,0000-0002-2700-4605
10.1016/j.foodchem.2023.135597,Not Neotoma,0000-0002-2700-4605
,Not Neotoma,0000-0002-2700-4605
10.1111/all.15673,Not Neotoma,0000-0002-2700-4605
10.1093/plcell/koad037,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.162163,Not Neotoma,0000-0002-2700-4605
10.1016/j.gene.2023.147284,Not Neotoma,0000-0002-2700-4605
10.1002/etc.5583,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16138,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1116289,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1120183,Not Neotoma,0000-0002-2700-4605
10.7717/peerj.14775,Not Neotoma,0000-0002-2700-4605
,Not Neotoma,0000-0002-2700-4605
10.1111/tpj.16141,Not Neotoma,0000-0002-2700-4605
10.1016/j.plantsci.2023.111634,Not Neotoma,0000-0002-2700-4605
10.1016/j.plantsci.2023.111633,Not Neotoma,0000-0002-2700-4605
10.1094/PDIS-01-23-0073-SC,Not Neotoma,0000-0002-2700-4605
10.1007/978-1-0716-2867-6_23,Not Neotoma,0000-0002-2700-4605
10.1007/978-1-0716-2867-6_18,Not Neotoma,0000-0002-2700-4605
10.1007/978-1-0716-2867-6_17,Not Neotoma,0000-0002-2700-4605
10.1007/978-1-0716-2867-6_16,Not Neotoma,0000-0002-2700-4605
10.1007/s00442-023-05333-w,Not Neotoma,0000-0002-2700-4605
10.3390/plants12030679,Not Neotoma,0000-0002-2700-4605
10.3390/plants12030468,Not Neotoma,0000-0002-2700-4605
10.3390/nu15030737,Not Neotoma,0000-0002-2700-4605
10.3390/ijms24032725,Not Neotoma,0000-0002-2700-4605
10.3390/ani13030439,Not Neotoma,0000-0002-2700-4605
10.3390/foods12030625,Not Neotoma,0000-0002-2700-4605
10.1002/ps.7403,Not Neotoma,0000-0002-2700-4605
